player_id,name,position,team,price,predicted_points
670,Roefs,GK,17,4.7,4.916666666666667
469,Pope,GK,15,5.2,4.583333333333333
5,Gabriel,DEF,1,6.4,6.75
256,Muñoz,DEF,8,5.9,6.166666666666667
8,J.Timber,DEF,1,6.3,6.0
260,Guéhi,DEF,8,5.1,5.75
295,Keane,DEF,9,4.5,5.416666666666667
82,Semenyo,MID,4,7.9,6.25
21,Rice,MID,1,7.0,5.916666666666667
160,Minteh,MID,6,6.2,5.083333333333333
241,Caicedo,MID,7,6.0,5.0
673,J.Palhinha,MID,18,5.5,4.916666666666667
430,Haaland,FWD,13,14.9,8.666666666666666
136,Thiago,FWD,5,6.6,5.333333333333333
249,João Pedro,FWD,7,7.5,5.0
