player_id,name,position,team,price,predicted_points
688,Wright,GK,2,4.0,94.65305456191774
139,Verbruggen,GK,6,4.4,97.32686833699545
189,Dodgson,DEF,3,4.0,211.88359178936668
78,J.Araujo,DEF,4,3.9,202.99720050850297
441,Dorgu,DEF,14,4.2,201.19337479826692
541,Reinildo,DEF,17,4.0,202.9668061120169
695,Tchatchoua,DEF,20,4.5,199.82808381315945
160,Minteh,MID,6,6.2,181.89619023332693
269,Esse,MID,8,4.7,180.18226393442305
452,Amad,MID,14,6.3,179.44772954789417
455,Mount,MID,14,5.9,177.19525556412952
579,Son,MID,18,8.5,182.42234444148954
178,Welbeck,FWD,6,6.6,60.19466778709774
598,Lankshear,FWD,18,4.5,60.84123125348772
599,Scarlett,FWD,18,4.3,59.68982426597958
